"label","weight","calories","protein","carbohydrates","fats","fiber","sugars","sodium","chinese_name","food_category","food_source"
"breakfast_burrito",350,700,35,70,26,8,8,1050,"早餐墨西哥卷","快餐","混合/其他"
"breakfast_burrito",400,800,40,80,30,10,10,1200,"早餐墨西哥卷","快餐","混合/其他"
"bruschetta",50,100,3,15,4,1,2,150,"意式蒜香面包","蔬果/素食","植物性"
"bruschetta",70,140,4,21,6,1,3,210,"意式蒜香面包","蔬果/素食","植物性"
"bruschetta",100,200,6,30,8,2,4,300,"意式蒜香面包","蔬果/素食","植物性"
"bruschetta",120,240,7,36,10,2,5,360,"意式蒜香面包","蔬果/素食","植物性"
"bruschetta",150,300,9,45,12,3,6,450,"意式蒜香面包","蔬果/素食","植物性"
"caesar_salad",200,300,10,15,20,3,5,500,"凯撒沙拉","蔬果/素食","植物性"
"caesar_salad",250,375,13,19,25,4,6,625,"凯撒沙拉","蔬果/素食","植物性"
"caesar_salad",300,450,15,23,30,5,8,750,"凯撒沙拉","蔬果/素食","植物性"
"caesar_salad",350,525,18,26,35,6,9,875,"凯撒沙拉","蔬果/素食","植物性"
"caesar_salad",400,600,20,30,40,7,10,1000,"凯撒沙拉","蔬果/素食","植物性"
"cannoli",50,200,4,25,10,1,15,50,"意式甜心卷","甜点","混合/其他"
"cannoli",70,280,6,35,14,1,21,70,"意式甜心卷","甜点","混合/其他"
"cannoli",100,400,8,50,20,2,30,100,"意式甜心卷","甜点","混合/其他"
"cannoli",120,480,10,60,24,2,36,120,"意式甜心卷","甜点","混合/其他"
"cannoli",150,600,12,75,30,3,45,150,"意式甜心卷","甜点","混合/其他"
"caprese_salad",150,200,8,10,15,2,5,200,"卡普里沙拉","蔬果/素食","植物性"
"caprese_salad",200,267,11,13,20,3,7,267,"卡普里沙拉","蔬果/素食","植物性"
"caprese_salad",250,333,13,17,25,4,8,333,"卡普里沙拉","蔬果/素食","植物性"
"caprese_salad",300,400,16,20,30,5,10,400,"卡普里沙拉","蔬果/素食","植物性"
"caprese_salad",350,467,19,23,35,6,12,467,"卡普里沙拉","蔬果/素食","植物性"
"carrot_cake",100,350,4,45,18,2,30,300,"胡萝卜蛋糕","甜点","混合/其他"
"carrot_cake",150,525,6,68,27,3,45,450,"胡萝卜蛋糕","甜点","混合/其他"
"carrot_cake",200,700,8,90,36,4,60,600,"胡萝卜蛋糕","甜点","混合/其他"
"carrot_cake",250,875,10,113,45,5,75,750,"胡萝卜蛋糕","甜点","混合/其他"
"carrot_cake",300,1050,12,135,54,6,90,900,"胡萝卜蛋糕","甜点","混合/其他"
"ceviche",150,200,20,10,5,2,3,400,"酸橘汁腌鱼","海鲜","动物性"
"ceviche",200,267,27,13,7,3,4,533,"酸橘汁腌鱼","海鲜","动物性"
"ceviche",250,333,33,17,8,4,5,667,"酸橘汁腌鱼","海鲜","动物性"
"ceviche",300,400,40,20,10,5,6,800,"酸橘汁腌鱼","海鲜","动物性"
"ceviche",350,467,47,23,12,6,7,933,"酸橘汁腌鱼","海鲜","动物性"
"cheese_plate",150,450,20,5,35,0,1,600,"奶酪拼盘","肉类","动物性"
"cheese_plate",200,600,27,7,47,0,1,800,"奶酪拼盘","肉类","动物性"
"cheese_plate",250,750,33,9,58,0,2,1000,"奶酪拼盘","肉类","动物性"
"cheese_plate",300,900,40,10,70,0,2,1200,"奶酪拼盘","肉类","动物性"
"cheese_plate",350,1050,47,12,82,0,3,1400,"奶酪拼盘","肉类","动物性"
"cheesecake",100,350,6,30,22,1,25,250,"芝士蛋糕","甜点","混合/其他"
"cheesecake",150,525,9,45,33,2,38,375,"芝士蛋糕","甜点","混合/其他"
"cheesecake",200,700,12,60,44,2,50,500,"芝士蛋糕","甜点","混合/其他"
"cheesecake",250,875,15,75,55,3,63,625,"芝士蛋糕","甜点","混合/其他"
"cheesecake",300,1050,18,90,66,4,75,750,"芝士蛋糕","甜点","混合/其他"
"chicken_curry",200,300,20,15,15,3,5,500,"咖喱鸡","肉类","动物性"
"chicken_curry",250,375,25,19,19,4,6,625,"咖喱鸡","肉类","动物性"
"chicken_curry",300,450,30,23,23,5,8,750,"咖喱鸡","肉类","动物性"
"chicken_curry",350,525,35,26,26,6,9,875,"咖喱鸡","肉类","动物性"
"chicken_curry",400,600,40,30,30,7,10,1000,"咖喱鸡","肉类","动物性"
"chicken_quesadilla",150,350,20,25,15,2,2,600,"墨西哥鸡肉薄饼","快餐","动物性"
"chicken_quesadilla",200,467,27,33,20,3,3,800,"墨西哥鸡肉薄饼","快餐","动物性"
"chicken_quesadilla",250,583,33,42,25,4,4,1000,"墨西哥鸡肉薄饼","快餐","动物性"
"chicken_quesadilla",300,700,40,50,30,5,5,1200,"墨西哥鸡肉薄饼","快餐","动物性"
"chicken_quesadilla",350,817,47,58,35,6,6,1400,"墨西哥鸡肉薄饼","快餐","动物性"
"chicken_wings",100,300,20,10,20,0,1,400,"鸡翅","肉类","动物性"
"chicken_wings",150,450,30,15,30,0,2,600,"鸡翅","肉类","动物性"
"chicken_wings",200,600,40,20,40,0,3,800,"鸡翅","肉类","动物性"
"chicken_wings",250,750,50,25,50,0,4,1000,"鸡翅","肉类","动物性"
"chicken_wings",300,900,60,30,60,0,5,1200,"鸡翅","肉类","动物性"
"chocolate_cake",100,400,5,50,20,2,35,300,"巧克力蛋糕","甜点","混合/其他"
"chocolate_cake",150,600,8,75,30,3,53,450,"巧克力蛋糕","甜点","混合/其他"
"chocolate_cake",200,800,10,100,40,4,70,600,"巧克力蛋糕","甜点","混合/其他"
"chocolate_cake",250,1000,13,125,50,5,88,750,"巧克力蛋糕","甜点","混合/其他"
"chocolate_cake",300,1200,15,150,60,6,105,900,"巧克力蛋糕","甜点","混合/其他"
"chocolate_mousse",100,300,5,25,20,2,20,100,"巧克力慕斯","甜点","混合/其他"
"chocolate_mousse",150,450,8,38,30,3,30,150,"巧克力慕斯","甜点","混合/其他"
"chocolate_mousse",200,600,10,50,40,4,40,200,"巧克力慕斯","甜点","混合/其他"
"chocolate_mousse",250,750,13,63,50,5,50,250,"巧克力慕斯","甜点","混合/其他"
"chocolate_mousse",300,900,15,75,60,6,60,300,"巧克力慕斯","甜点","混合/其他"
"churros",50,200,3,25,10,1,12,100,"西班牙油条","甜点","混合/其他"
"churros",70,280,4,35,14,1,17,140,"西班牙油条","甜点","混合/其他"
"churros",100,400,6,50,20,2,24,200,"西班牙油条","甜点","混合/其他"
"churros",120,480,7,60,24,2,29,240,"西班牙油条","甜点","混合/其他"
"churros",150,600,9,75,30,3,36,300,"西班牙油条","甜点","混合/其他"
"clam_chowder",200,250,10,20,12,2,5,800,"蛤蜊浓汤","海鲜","动物性"
"clam_chowder",250,313,13,25,15,3,6,1000,"蛤蜊浓汤","海鲜","动物性"
"clam_chowder",300,375,15,30,18,4,8,1200,"蛤蜊浓汤","海鲜","动物性"
"clam_chowder",350,438,18,35,21,5,9,1400,"蛤蜊浓汤","海鲜","动物性"
"clam_chowder",400,500,20,40,24,6,10,1600,"蛤蜊浓汤","海鲜","动物性"
"club_sandwich",200,400,20,35,18,3,5,600,"总会三明治","快餐","混合/其他"
"club_sandwich",250,500,25,44,23,4,6,750,"总会三明治","快餐","混合/其他"
"club_sandwich",300,600,30,53,27,5,8,900,"总会三明治","快餐","混合/其他"
"club_sandwich",350,700,35,61,32,6,9,1050,"总会三明治","快餐","混合/其他"
"club_sandwich",400,800,40,70,36,7,10,1200,"总会三明治","快餐","混合/其他"
"crab_cakes",100,250,15,10,15,1,2,400,"蟹肉饼","海鲜","动物性"
"crab_cakes",150,375,23,15,23,2,3,600,"蟹肉饼","海鲜","动物性"
"crab_cakes",200,500,30,20,30,3,4,800,"蟹肉饼","海鲜","动物性"
"crab_cakes",250,625,38,25,38,4,5,1000,"蟹肉饼","海鲜","动物性"
"crab_cakes",300,750,45,30,45,5,6,1200,"蟹肉饼","海鲜","动物性"
"creme_brulee",100,300,5,25,20,0,20,100,"焦糖布丁","甜点","混合/其他"
"creme_brulee",150,450,8,38,30,0,30,150,"焦糖布丁","甜点","混合/其他"
"creme_brulee",200,600,10,50,40,0,40,200,"焦糖布丁","甜点","混合/其他"
"creme_brulee",250,750,13,63,50,0,50,250,"焦糖布丁","甜点","混合/其他"
"creme_brulee",300,900,15,75,60,0,60,300,"焦糖布丁","甜点","混合/其他"
"croque_madame",200,450,20,30,25,2,5,800,"法式太太三明治","快餐","混合/其他"
"croque_madame",250,563,25,38,31,3,6,1000,"法式太太三明治","快餐","混合/其他"
"croque_madame",300,675,30,45,38,4,8,1200,"法式太太三明治","快餐","混合/其他"
"croque_madame",350,788,35,53,44,5,9,1400,"法式太太三明治","快餐","混合/其他"
"croque_madame",400,900,40,60,50,6,10,1600,"法式太太三明治","快餐","混合/其他"
"Cupcakes",50,200,3,25,10,1,20,50,"马卡龙","甜点","混合/其他"
"Cupcakes",70,280,4,35,14,1,28,70,"马卡龙","甜点","混合/其他"
"Cupcakes",100,400,6,50,20,2,40,100,"马卡龙","甜点","混合/其他"
"Cupcakes",120,480,7,60,24,2,48,120,"马卡龙","甜点","混合/其他"
"Cupcakes",150,600,9,75,30,3,60,150,"马卡龙","甜点","混合/其他"
"deviled_eggs",50,100,6,1,8,0,1,120,"魔鬼蛋","肉类","动物性"
"deviled_eggs",70,140,8,1,11,0,1,168,"魔鬼蛋","肉类","动物性"
"deviled_eggs",100,200,12,2,16,0,2,240,"魔鬼蛋","肉类","动物性"
"deviled_eggs",120,240,14,2,19,0,2,288,"魔鬼蛋","肉类","动物性"
"deviled_eggs",150,300,18,3,24,0,3,360,"魔鬼蛋","肉类","动物性"
"donuts",50,200,3,25,10,1,12,150,"甜甜圈","甜点","混合/其他"
"donuts",70,280,4,35,14,1,17,210,"甜甜圈","甜点","混合/其他"
"donuts",100,400,6,50,20,2,24,300,"甜甜圈","甜点","混合/其他"
"donuts",120,480,7,60,24,2,29,360,"甜甜圈","甜点","混合/其他"
"donuts",150,600,9,75,30,3,36,450,"甜甜圈","甜点","混合/其他"
"dumplings",100,250,8,30,10,2,2,300,"饺子","肉类","动物性"
"dumplings",150,375,12,45,15,3,3,450,"饺子","肉类","动物性"
"dumplings",200,500,16,60,20,4,4,600,"饺子","肉类","动物性"
"dumplings",250,625,20,75,25,5,5,750,"饺子","肉类","动物性"
"dumplings",300,750,24,90,30,6,6,900,"饺子","肉类","动物性"
"edamame",100,120,11,10,5,5,2,10,"毛豆","蔬果/素食","植物性"
"edamame",150,180,17,15,8,8,3,15,"毛豆","蔬果/素食","植物性"
"edamame",200,240,22,20,10,10,4,20,"毛豆","蔬果/素食","植物性"
"edamame",250,300,28,25,13,13,5,25,"毛豆","蔬果/素食","植物性"
"edamame",300,360,33,30,15,15,6,30,"毛豆","蔬果/素食","植物性"
"eggs_benedict",200,400,20,20,25,2,2,600,"班尼迪克蛋","肉类","动物性"
"eggs_benedict",250,500,25,25,31,3,3,750,"班尼迪克蛋","肉类","动物性"
"eggs_benedict",300,600,30,30,38,4,4,900,"班尼迪克蛋","肉类","动物性"
"eggs_benedict",350,700,35,35,44,5,5,1050,"班尼迪克蛋","肉类","动物性"
"eggs_benedict",400,800,40,40,50,6,6,1200,"班尼迪克蛋","肉类","动物性"
"escargots",100,200,15,5,12,1,1,300,"法式蜗牛","肉类","动物性"
"escargots",150,300,23,8,18,2,2,450,"法式蜗牛","肉类","动物性"
"escargots",200,400,30,10,24,3,3,600,"法式蜗牛","肉类","动物性"
"escargots",250,500,38,13,30,4,4,750,"法式蜗牛","肉类","动物性"
"escargots",300,600,45,15,36,5,5,900,"法式蜗牛","肉类","动物性"
"falafel",50,150,5,15,8,3,2,200,"中东炸豆丸","蔬果/素食","植物性"
"falafel",70,210,7,21,11,4,3,280,"中东炸豆丸","蔬果/素食","植物性"
"falafel",100,300,10,30,16,6,4,400,"中东炸豆丸","蔬果/素食","植物性"
"falafel",120,360,12,36,19,7,5,480,"中东炸豆丸","蔬果/素食","植物性"
"falafel",150,450,15,45,24,9,6,600,"中东炸豆丸","蔬果/素食","植物性"
"filet_mignon",150,375,30,0,25,0,0,100,"菲力牛排","肉类","动物性"
"filet_mignon",200,500,40,0,33,0,0,133,"菲力牛排","肉类","动物性"
"filet_mignon",250,625,50,0,42,0,0,167,"菲力牛排","肉类","动物性"
"filet_mignon",300,750,60,0,50,0,0,200,"菲力牛排","肉类","动物性"
"filet_mignon",350,875,70,0,58,0,0,233,"菲力牛排","肉类","动物性"
"Fish and Chips",200,500,20,40,25,3,2,600,"炸鱼薯条","海鲜","动物性"
"Fish and Chips",250,625,25,50,31,4,3,750,"炸鱼薯条","海鲜","动物性"
"Fish and Chips",300,750,30,60,38,5,4,900,"炸鱼薯条","海鲜","动物性"
"Fish and Chips",350,875,35,70,44,6,5,1050,"炸鱼薯条","海鲜","动物性"
"Fish and Chips",400,1000,40,80,50,7,6,1200,"炸鱼薯条","海鲜","动物性"
"foie_gras",50,200,5,2,20,0,1,100,"鹅肝","肉类","动物性"
"foie_gras",70,280,7,3,28,0,1,140,"鹅肝","肉类","动物性"
"foie_gras",100,400,10,4,40,0,2,200,"鹅肝","肉类","动物性"
"foie_gras",120,480,12,5,48,0,2,240,"鹅肝","肉类","动物性"
"foie_gras",150,600,15,6,60,0,3,300,"鹅肝","肉类","动物性"
"french_fries",100,300,4,35,15,3,0,200,"炸薯条","快餐","混合/其他"
"french_fries",150,450,6,53,23,5,0,300,"炸薯条","快餐","混合/其他"
"french_fries",200,600,8,70,30,6,0,400,"炸薯条","快餐","混合/其他"
"french_fries",250,750,10,88,38,8,0,500,"炸薯条","快餐","混合/其他"
"french_fries",300,900,12,105,45,9,0,600,"炸薯条","快餐","混合/其他"
"french_onion_soup",200,250,10,20,12,2,5,800,"法式洋葱汤","汤/饮品","混合/其他"
"french_onion_soup",250,313,13,25,15,3,6,1000,"法式洋葱汤","汤/饮品","混合/其他"
"french_onion_soup",300,375,15,30,18,4,8,1200,"法式洋葱汤","汤/饮品","混合/其他"
"french_onion_soup",350,438,18,35,21,5,9,1400,"法式洋葱汤","汤/饮品","混合/其他"
"french_onion_soup",400,500,20,40,24,6,10,1600,"法式洋葱汤","汤/饮品","混合/其他"
"french_toast",100,250,8,30,10,2,10,300,"法式吐司","快餐","混合/其他"
"french_toast",150,375,12,45,15,3,15,450,"法式吐司","快餐","混合/其他"
"french_toast",200,500,16,60,20,4,20,600,"法式吐司","快餐","混合/其他"
"french_toast",250,625,20,75,25,5,25,750,"法式吐司","快餐","混合/其他"
"french_toast",300,750,24,90,30,6,30,900,"法式吐司","快餐","混合/其他"
"fried_calamari",100,300,15,20,15,1,1,400,"炸鱿鱼","海鲜","动物性"
"fried_calamari",150,450,23,30,23,2,2,600,"炸鱿鱼","海鲜","动物性"
"fried_calamari",200,600,30,40,30,3,3,800,"炸鱿鱼","海鲜","动物性"
"fried_calamari",250,750,38,50,38,4,4,1000,"炸鱿鱼","海鲜","动物性"
"fried_calamari",300,900,45,60,45,5,5,1200,"炸鱿鱼","海鲜","动物性"
"fried_rice",200,300,8,50,10,2,3,400,"炒饭","快餐","混合/其他"
"fried_rice",250,375,10,63,13,3,4,500,"炒饭","快餐","混合/其他"
"fried_rice",300,450,12,75,15,4,5,600,"炒饭","快餐","混合/其他"
"fried_rice",350,525,14,88,18,5,6,700,"炒饭","快餐","混合/其他"
"fried_rice",400,600,16,100,20,6,7,800,"炒饭","快餐","混合/其他"
"frozen_yogurt",100,150,4,25,3,0,20,50,"冻酸奶","甜点","混合/其他"
"frozen_yogurt",150,225,6,38,5,0,30,75,"冻酸奶","甜点","混合/其他"
"frozen_yogurt",200,300,8,50,6,0,40,100,"冻酸奶","甜点","混合/其他"
"frozen_yogurt",250,375,10,63,8,0,50,125,"冻酸奶","甜点","混合/其他"
"frozen_yogurt",300,450,12,75,9,0,60,150,"冻酸奶","甜点","混合/其他"
"garlic_bread",50,150,4,20,6,1,2,200,"蒜蓉面包","蔬果/素食","植物性"
"garlic_bread",70,210,6,28,8,1,3,280,"蒜蓉面包","蔬果/素食","植物性"
"garlic_bread",100,300,8,40,12,2,4,400,"蒜蓉面包","蔬果/素食","植物性"
"garlic_bread",120,360,10,48,14,2,5,480,"蒜蓉面包","蔬果/素食","植物性"
"garlic_bread",150,450,12,60,18,3,6,600,"蒜蓉面包","蔬果/素食","植物性"
"gnocchi",150,250,6,40,5,2,2,300,"意式土豆团子","蔬果/素食","植物性"
"gnocchi",200,333,8,53,7,3,3,400,"意式土豆团子","蔬果/素食","植物性"
"gnocchi",250,417,10,67,8,4,4,500,"意式土豆团子","蔬果/素食","植物性"
"gnocchi",300,500,12,80,10,5,5,600,"意式土豆团子","蔬果/素食","植物性"
"gnocchi",350,583,14,93,12,6,6,700,"意式土豆团子","蔬果/素食","植物性"
"greek_salad",200,250,8,15,18,4,5,400,"希腊沙拉","蔬果/素食","植物性"
"greek_salad",250,313,10,19,23,5,6,500,"希腊沙拉","蔬果/素食","植物性"
"greek_salad",300,375,12,23,27,6,8,600,"希腊沙拉","蔬果/素食","植物性"
"greek_salad",350,438,14,26,32,7,9,700,"希腊沙拉","蔬果/素食","植物性"
"greek_salad",400,500,16,30,36,8,10,800,"希腊沙拉","蔬果/素食","植物性"
"Grilled Cheese",150,400,15,30,20,2,5,600,"烤奶酪三明治","快餐","混合/其他"
"Grilled Cheese",200,533,20,40,27,3,7,800,"烤奶酪三明治","快餐","混合/其他"
"Grilled Cheese",250,667,25,50,33,4,8,1000,"烤奶酪三明治","快餐","混合/其他"
"Grilled Cheese",300,800,30,60,40,5,10,1200,"烤奶酪三明治","快餐","混合/其他"
"Grilled Cheese",350,933,35,70,47,6,12,1400,"烤奶酪三明治","快餐","混合/其他"
"grilled_salmon",150,300,35,0,15,0,0,100,"烤三文鱼","海鲜","动物性"
"grilled_salmon",200,400,47,0,20,0,0,133,"烤三文鱼","海鲜","动物性"
"grilled_salmon",250,500,58,0,25,0,0,167,"烤三文鱼","海鲜","动物性"
"grilled_salmon",300,600,70,0,30,0,0,200,"烤三文鱼","海鲜","动物性"
"grilled_salmon",350,700,82,0,35,0,0,233,"烤三文鱼","海鲜","动物性"
"guacamole",50,100,2,5,8,3,1,50,"墨西哥牛油果酱","蔬果/素食","植物性"
"guacamole",70,140,3,7,11,4,1,70,"墨西哥牛油果酱","蔬果/素食","植物性"
"guacamole",100,200,4,10,16,6,2,100,"墨西哥牛油果酱","蔬果/素食","植物性"
"guacamole",120,240,5,12,19,7,2,120,"墨西哥牛油果酱","蔬果/素食","植物性"
"guacamole",150,300,6,15,24,9,3,150,"墨西哥牛油果酱","蔬果/素食","植物性"
"gyoza",100,200,8,20,8,2,2,300,"日式煎饺","肉类","动物性"
"gyoza",150,300,12,30,12,3,3,450,"日式煎饺","肉类","动物性"
"gyoza",200,400,16,40,16,4,4,600,"日式煎饺","肉类","动物性"
"gyoza",250,500,20,50,20,5,5,750,"日式煎饺","肉类","动物性"
"gyoza",300,600,24,60,24,6,6,900,"日式煎饺","肉类","动物性"
"hamburger",150,375,20,30,18,2,5,450,"汉堡包","快餐","混合/其他"
"hamburger",200,500,27,40,24,3,7,600,"汉堡包","快餐","混合/其他"
"hamburger",250,625,33,50,30,4,8,750,"汉堡包","快餐","混合/其他"
"hamburger",300,750,40,60,36,5,10,900,"汉堡包","快餐","混合/其他"
"hamburger",350,875,47,70,42,6,12,1050,"汉堡包","快餐","混合/其他"
"Hot and Sour Soup",200,150,8,15,5,2,3,600,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",250,188,10,19,6,3,4,750,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",300,225,12,23,8,4,5,900,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",350,263,14,26,9,5,6,1050,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",400,300,16,30,10,6,7,1200,"酸辣汤","汤/饮品","混合/其他"
"hot_dog",100,250,10,15,15,1,3,500,"热狗","快餐","混合/其他"
"hot_dog",150,375,15,23,23,2,5,750,"热狗","快餐","混合/其他"
"hot_dog",200,500,20,30,30,3,6,1000,"热狗","快餐","混合/其他"
"hot_dog",250,625,25,38,38,4,8,1250,"热狗","快餐","混合/其他"
"hot_dog",300,750,30,45,45,5,9,1500,"热狗","快餐","混合/其他"
"huevos_rancheros",200,300,15,20,15,4,3,400,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",250,375,19,25,19,5,4,500,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",300,450,23,30,23,6,5,600,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",350,525,26,35,26,7,6,700,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",400,600,30,40,30,8,7,800,"墨西哥牧场蛋","快餐","混合/其他"
"hummus",50,100,4,8,6,3,1,100,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",70,140,6,11,8,4,1,140,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",100,200,8,16,12,6,2,200,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",120,240,10,19,14,7,2,240,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",150,300,12,24,18,9,3,300,"中东鹰嘴豆泥","蔬果/素食","植物性"
"ice_cream",100,200,4,25,10,0,20,50,"冰淇淋","甜点","混合/其他"
"ice_cream",150,300,6,38,15,0,30,75,"冰淇淋","甜点","混合/其他"
"ice_cream",200,400,8,50,20,0,40,100,"冰淇淋","甜点","混合/其他"
"ice_cream",250,500,10,63,25,0,50,125,"冰淇淋","甜点","混合/其他"
"ice_cream",300,600,12,75,30,0,60,150,"冰淇淋","甜点","混合/其他"
"lasagna",200,400,20,40,20,4,6,600,"意式千层面","快餐","混合/其他"
"lasagna",250,500,25,50,25,5,8,750,"意式千层面","快餐","混合/其他"
"lasagna",300,600,30,60,30,6,10,900,"意式千层面","快餐","混合/其他"
"lasagna",350,700,35,70,35,7,12,1050,"意式千层面","快餐","混合/其他"
"lasagna",400,800,40,80,40,8,14,1200,"意式千层面","快餐","混合/其他"
"lobster_bisque",200,250,10,15,15,2,5,500,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",250,313,13,19,19,3,6,625,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",300,375,15,23,23,4,8,750,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",350,438,18,26,26,5,9,875,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",400,500,20,30,30,6,10,1000,"龙虾浓汤","海鲜","动物性"
"Lobster Roll",200,400,20,30,20,2,5,600,"龙虾卷","海鲜","动物性"
"Lobster Roll",250,500,25,38,25,3,6,750,"龙虾卷","海鲜","动物性"
"Lobster Roll",300,600,30,45,30,4,8,900,"龙虾卷","海鲜","动物性"
"Lobster Roll",350,700,35,53,35,5,9,1050,"龙虾卷","海鲜","动物性"
"Lobster Roll",400,800,40,60,40,6,10,1200,"龙虾卷","海鲜","动物性"
"Macaroni and Cheese",200,400,12,50,18,2,6,600,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",250,500,15,63,23,3,8,750,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",300,600,18,75,27,4,10,900,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",350,700,21,88,32,5,12,1050,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",400,800,24,100,36,6,14,1200,"奶酪通心粉","快餐","混合/其他"
"macarons",50,200,3,25,10,1,20,50,"马卡龙","甜点","混合/其他"
